 v-sweep         v(vout)         v(v1)           v(v2)          
 0.00000000e+00  6.11144121e-08  0.00000000e+00  6.00000000e-01 
 1.00000000e-03  6.11144131e-08  1.00000000e-03  6.00000000e-01 
 2.00000000e-03  6.11144123e-08  2.00000000e-03  6.00000000e-01 
 3.00000000e-03  6.11144122e-08  3.00000000e-03  6.00000000e-01 
 4.00000000e-03  6.11144128e-08  4.00000000e-03  6.00000000e-01 
 5.00000000e-03  6.11144127e-08  5.00000000e-03  6.00000000e-01 
 6.00000000e-03  6.11144137e-08  6.00000000e-03  6.00000000e-01 
 7.00000000e-03  6.11144151e-08  7.00000000e-03  6.00000000e-01 
 8.00000000e-03  6.11144159e-08  8.00000000e-03  6.00000000e-01 
 9.00000000e-03  6.11144160e-08  9.00000000e-03  6.00000000e-01 
 1.00000000e-02  6.11144148e-08  1.00000000e-02  6.00000000e-01 
 1.10000000e-02  6.11144178e-08  1.10000000e-02  6.00000000e-01 
 1.20000000e-02  6.11144170e-08  1.20000000e-02  6.00000000e-01 
 1.30000000e-02  6.11144179e-08  1.30000000e-02  6.00000000e-01 
 1.40000000e-02  6.11144192e-08  1.40000000e-02  6.00000000e-01 
 1.50000000e-02  6.11144177e-08  1.50000000e-02  6.00000000e-01 
 1.60000000e-02  6.11144189e-08  1.60000000e-02  6.00000000e-01 
 1.70000000e-02  6.11144195e-08  1.70000000e-02  6.00000000e-01 
 1.80000000e-02  6.11144200e-08  1.80000000e-02  6.00000000e-01 
 1.90000000e-02  6.11144193e-08  1.90000000e-02  6.00000000e-01 
 2.00000000e-02  6.11144213e-08  2.00000000e-02  6.00000000e-01 
 2.10000000e-02  6.11144239e-08  2.10000000e-02  6.00000000e-01 
 2.20000000e-02  6.11144241e-08  2.20000000e-02  6.00000000e-01 
 2.30000000e-02  6.11144231e-08  2.30000000e-02  6.00000000e-01 
 2.40000000e-02  6.11144259e-08  2.40000000e-02  6.00000000e-01 
 2.50000000e-02  6.11144249e-08  2.50000000e-02  6.00000000e-01 
 2.60000000e-02  6.11144260e-08  2.60000000e-02  6.00000000e-01 
 2.70000000e-02  6.11144265e-08  2.70000000e-02  6.00000000e-01 
 2.80000000e-02  6.11144285e-08  2.80000000e-02  6.00000000e-01 
 2.90000000e-02  6.11144283e-08  2.90000000e-02  6.00000000e-01 
 3.00000000e-02  6.11144279e-08  3.00000000e-02  6.00000000e-01 
 3.10000000e-02  6.11144278e-08  3.10000000e-02  6.00000000e-01 
 3.20000000e-02  6.11144297e-08  3.20000000e-02  6.00000000e-01 
 3.30000000e-02  6.11144307e-08  3.30000000e-02  6.00000000e-01 
 3.40000000e-02  6.11144322e-08  3.40000000e-02  6.00000000e-01 
 3.50000000e-02  6.11144343e-08  3.50000000e-02  6.00000000e-01 
 3.60000000e-02  6.11144349e-08  3.60000000e-02  6.00000000e-01 
 3.70000000e-02  6.11144352e-08  3.70000000e-02  6.00000000e-01 
 3.80000000e-02  6.11144356e-08  3.80000000e-02  6.00000000e-01 
 3.90000000e-02  6.11144359e-08  3.90000000e-02  6.00000000e-01 
 4.00000000e-02  6.11144382e-08  4.00000000e-02  6.00000000e-01 
 4.10000000e-02  6.11144406e-08  4.10000000e-02  6.00000000e-01 
 4.20000000e-02  6.11144409e-08  4.20000000e-02  6.00000000e-01 
 4.30000000e-02  6.11144428e-08  4.30000000e-02  6.00000000e-01 
 4.40000000e-02  6.11144427e-08  4.40000000e-02  6.00000000e-01 
 4.50000000e-02  6.11144435e-08  4.50000000e-02  6.00000000e-01 
 4.60000000e-02  6.11144456e-08  4.60000000e-02  6.00000000e-01 
 4.70000000e-02  6.11144456e-08  4.70000000e-02  6.00000000e-01 
 4.80000000e-02  6.11144487e-08  4.80000000e-02  6.00000000e-01 
 4.90000000e-02  6.11144497e-08  4.90000000e-02  6.00000000e-01 
 5.00000000e-02  6.11144496e-08  5.00000000e-02  6.00000000e-01 
 5.10000000e-02  6.11144511e-08  5.10000000e-02  6.00000000e-01 
