frequency,Tmag,Tphase
1,62.0974176,-0.106123508
1.12201845,62.0974138,-0.119072499
1.25892541,62.0974089,-0.133601491
1.41253754,62.0974028,-0.149903268
1.58489319,62.0973951,-0.168194134
1.77827941,62.0973854,-0.188716782
1.99526231,62.0973732,-0.211743514
2.23872114,62.0973579,-0.23757985
2.51188643,62.0973385,-0.266568581
2.81838293,62.0973142,-0.299094308
3.16227766,62.0972836,-0.335588544
3.54813389,62.097245,-0.376535424
3.98107171,62.0971964,-0.42247812
4.46683592,62.0971353,-0.474026023
5.01187234,62.0970583,-0.531862804
5.62341325,62.0969614,-0.596755443
6.30957344,62.0968395,-0.669564352
7.07945784,62.0966859,-0.751254705
7.94328235,62.0964926,-0.842909137
8.91250938,62.0962493,-0.945741943
10,62.0959429,-1.06111496
11.2201845,62.0955573,-1.19055533
12.5892541,62.0950719,-1.33577528
14.1253754,62.0944609,-1.49869423
15.8489319,62.0936918,-1.68146331
17.7827941,62.0927237,-1.88649268
19.9526231,62.0915053,-2.11648163
22.3872114,62.0899719,-2.37445193
25.1188643,62.0880423,-2.66378423
28.1838293,62.0856142,-2.98825795
31.6227766,62.0825594,-3.35209421
35.4813389,62.0787166,-3.76000186
39.8107171,62.0738837,-4.21722586
44.6683592,62.067807,-4.72959708
50.1187234,62.0601691,-5.303582
56.2341325,62.0505725,-5.94632983
63.0957344,62.0385212,-6.66571345
70.7945784,62.0233969,-7.47035908
79.4328235,62.0044311,-8.36965731
89.1250938,61.9806718,-9.37374564
100,61.9509442,-10.4934491
112.201845,61.9138065,-11.7401621
125.892541,61.8674999,-13.1256488
141.253754,61.8098968,-14.6617389
158.489319,61.7384485,-16.3598879
177.827941,61.6501403,-18.2305774
199.526231,61.5414607,-20.282534
223.872114,61.4083983,-22.5217658
251.188643,61.2464792,-24.9504429
281.838293,61.0508608,-27.5656978
316.227766,60.8164949,-30.3584762
354.813389,60.5383648,-33.3126275
398.107171,60.2117884,-36.404464
446.683592,59.8327624,-39.6030068
501.187234,59.3983008,-42.8710584
562.341325,58.9067161,-46.1670961
630.957344,58.3577879,-49.4477938
707.945784,57.7527858,-52.67082
794.328235,57.0943404,-55.7974825
891.250938,56.386191,-58.7948337
1000,55.6328572,-61.6369922
1122.01845,54.8392917,-64.3056219
1258.92541,54.0105613,-66.789671
1412.53754,53.1515889,-69.0845759
1584.89319,52.266969,-71.1911605
1778.27941,51.3608545,-73.1144343
1995.26231,50.4369043,-74.86244
2238.72114,49.4982764,-76.4452397
2511.88643,48.5476517,-77.8740792
2818.38293,47.587276,-79.1607372
3162.27766,46.6190103,-80.3170416
3548.13389,45.6443842,-81.3545367
3981.07171,44.6646455,-82.2842205
4466.83592,43.6808072,-83.1164606
5011.87234,42.6936878,-83.8608813
5623.41325,41.7039466,-84.526346
6309.57344,40.7121127,-85.1209506
7079.45784,39.7186102,-85.6520903
7943.28235,38.7237785,-86.1264425
8912.50938,37.727888,-86.5500236
10000,36.7311552,-86.928281
11220.1845,35.733752,-87.2660955
12589.2541,34.7358159,-87.5678574
14125.3754,33.737456,-87.8375123
15848.9319,32.7387591,-88.0785838
17782.7941,31.7397945,-88.2942436
19952.6231,30.7406171,-88.4873239
22387.2114,29.7412706,-88.6603734
25118.8643,28.7417896,-88.815675
28183.8293,27.7422019,-88.9552799
31622.7766,26.7425292,-89.0810391
35481.3389,25.7427892,-89.1946126
39810.7171,24.7429955,-89.2975074
44668.3592,23.7431591,-89.3910846
50118.7234,22.7432888,-89.476586
56234.1325,21.7433915,-89.5551446
63095.7344,20.7434727,-89.627802
70794.5784,19.7435366,-89.6955218
79432.8235,18.7435866,-89.7592021
89125.0938,17.7436255,-89.819688
100000,16.7436552,-89.8777824
112201.845,15.7436775,-89.9342549
125892.541,14.7436934,-89.9898549
141253.754,13.7437038,-90.0453204
158489.319,12.7437093,-90.1013877
177827.941,11.7437101,-90.1588002
199526.231,10.7437064,-90.2183201
223872.114,9.74369783,-90.280737
251188.643,8.74368402,-90.346879
281838.293,7.74366422,-90.417624
316227.766,6.74363737,-90.4939104
354813.389,5.74360205,-90.5767508
398107.171,4.74355637,-90.6672443
446683.592,3.74349791,-90.7665918
501187.234,2.74342353,-90.8761111
562341.325,1.74332929,-90.9972559
630957.344,0.743210159,-91.1316333
707945.784,-0.25694022,-91.2810265
794328.235,-1.25712986,-91.4474177
891250.938,-2.25736889,-91.6330145
1000000,-3.25767006,-91.8402794
1122018.45,-4.25804945,-92.0719622
1258925.41,-5.25852735,-92.3311367
1412537.54,-6.2591293,-92.6212409
1584893.19,-7.25988757,-92.9461231
1778279.41,-8.26084283,-93.3100922
1995262.31,-9.26204638,-93.717975
2238721.14,-10.263563,-94.1751793
2511886.43,-11.2654747,-94.6877651
2818382.93,-12.267885,-95.2625237
3162277.66,-13.270925,-95.9070654
3548133.89,-14.2747609,-96.629917
3981071.71,-15.2796037,-97.440629
4466835.92,-16.2857215,-98.3498917
5011872.34,-17.2934556,-99.3696604
5623413.25,-18.3032411,-100.513285
6309573.44,-19.3156328,-101.795636
7079457.84,-20.3313378,-103.233223
7943282.35,-21.3512542,-104.844281
8912509.38,-22.3765135,-106.648803
10000000,-23.4085198,-108.668535
11220184.5,-24.4489734,-110.92698
12589254.1,-25.4998738,-113.449666
14125375.4,-26.5635478,-116.265177
15848931.9,-27.6428874,-119.407218
17782794.1,-28.7420978,-122.916306
19952623.1,-29.8679582,-126.837001
22387211.4,-31.0308754,-131.207616
25118864.3,-32.244921,-136.045233
28183829.3,-33.5268846,-141.330125
31622776.6,-34.8943848,-146.98819
35481338.9,-36.3618074,-152.871039
39810717.1,-37.9322821,-158.747559
44668359.2,-39.5863797,-164.34015
50118723.4,-41.2749092,-169.436377
56234132.5,-42.9288197,-174.040981
63095734.4,-44.4891452,-178.433495
70794578.4,-45.9346887,-183.031742
79432823.5,-47.2817833,-188.170933
89125093.8,-48.5618289,-193.99105
100000000,-49.8007927,-200.466513
112201845,-51.011648,-207.486427
125892541,-52.1958158,-214.91611
141253754,-53.3473869,-222.627238
158489319,-54.4569609,-230.50749
177827941,-55.5143073,-238.460878
199526231,-56.5099738,-246.40507
223872114,-57.4361569,-254.268377
251188643,-58.2871103,-261.98735
281838293,-59.0592838,-269.505201
316227766,-59.7513097,-276.771075
354813389,-60.3638894,-283.740092
398107171,-60.899597,-290.373949
446683592,-61.3626026,-296.641817
501187234,-61.7583239,-302.521161
562341325,-62.0930326,-307.998213
630957344,-62.3734541,-313.067896
707945784,-62.606399,-317.733184
794328235,-62.7984597,-322.00402
891250938,-62.9557881,-325.895943
1000000000,-63.0839541,-329.428637
1122018450,-63.1878779,-332.624546
1258925410,-63.2718183,-335.507652
1412537540,-63.3394005,-338.102482
1584893190,-63.3936692,-340.433332
1778279410,-63.4371535,-342.523708
1995262310,-63.4719354,-344.395949
2238721140,-63.4997166,-346.070994
2511886430,-63.52188,-347.568255
2818382930,-63.5395443,-348.90558
3162277660,-63.5536107,-350.099266
3548133890,-63.5648034,-351.164123
3981071710,-63.5737025,-352.113541
4466835920,-63.5807718,-352.959597
5011872340,-63.5863814,-353.713144
5623413250,-63.590826,-354.383917
6309573440,-63.5943396,-354.98063
7079457840,-63.5971079,-355.511067
7943282350,-63.5992773,-355.982175
8912509380,-63.6009625,-356.400141
10000000000,-63.6022531,-356.770466
11220184500,-63.6032174,-357.098036
12589254100,-63.6039068,-357.387181
14125375400,-63.604358,-357.64173
15848931900,-63.6045952,-357.865063
17782794100,-63.6046311,-358.060155
19952623100,-63.6044681,-358.229615
22387211400,-63.6040983,-358.375727
25118864300,-63.603503,-358.500481
28183829300,-63.6026523,-358.605607
31622776600,-63.6015035,-358.692607
35481338900,-63.5999998,-358.762784
39810717100,-63.5980681,-358.81728
44668359200,-63.5956159,-358.85711
50118723400,-63.5925296,-358.883212
56234132500,-63.5886709,-358.896496
63095734400,-63.5838749,-358.897916
70794578400,-63.5779493,-358.888553
79432823500,-63.5706755,-358.869722
89125093800,-63.5618147,-358.843102
100000000000,-63.5511198,-358.810892
112201845000,-63.5383584,-358.775973
125892541000,-63.523349,-358.742085
141253754000,-63.5060167,-358.713948
158489319000,-63.4864693,-358.697304
177827941000,-63.4650964,-358.698769
199526231000,-63.4426837,-358.725396
223872114000,-63.4205275,-358.783827
251188643000,-63.4005199,-358.878949
281838293000,-63.3851634,-359.012025
316227766000,-63.3774632,-359.178461
354813389000,-63.3806524,-359.365516
398107171000,-63.3977212,-359.550485
446683592000,-63.4307614,-359.700044
501187234000,-63.4801852,-359.771443
562341325000,-63.5439376,-359.716179
630957344000,-63.6168776,-359.486464
707945784000,-63.6905657,-359.044305
794328235000,-63.7537187,-358.372093
891250938000,-63.7935343,-357.482291
1000000000000,-63.7978539,-356.422671
