frequency,db(v(vout)),180*cph(v(vout))/pi
1,-0.0106026337,-0.0000842475443
1.12201845,-0.0106026337,-0.0000945272995
1.25892541,-0.0106026337,-0.000106061374
1.41253754,-0.0106026337,-0.000119002819
1.58489319,-0.0106026337,-0.000133523359
1.77827941,-0.0106026337,-0.000149815673
1.99526231,-0.0106026337,-0.00016809595
2.23872114,-0.0106026338,-0.000188606758
2.51188643,-0.0106026338,-0.000211620264
2.81838293,-0.0106026338,-0.000237441841
3.16227766,-0.0106026338,-0.000266414127
3.54813389,-0.0106026338,-0.000298921567
3.98107171,-0.0106026338,-0.000335395515
4.46683592,-0.0106026339,-0.000376319957
5.01187234,-0.0106026339,-0.000422237937
5.62341325,-0.010602634,-0.000473758757
6.30957344,-0.0106026341,-0.000531566069
7.07945784,-0.0106026341,-0.000596426939
7.94328235,-0.0106026343,-0.000669202032
8.91250938,-0.0106026344,-0.000750857029
10,-0.0106026346,-0.000842475443
11.2201845,-0.0106026348,-0.000945272995
12.5892541,-0.0106026351,-0.00106061374
14.1253754,-0.0106026355,-0.00119002819
15.8489319,-0.0106026359,-0.00133523359
17.7827941,-0.0106026365,-0.00149815673
19.9526231,-0.0106026372,-0.0016809595
22.3872114,-0.0106026381,-0.00188606758
25.1188643,-0.0106026392,-0.00211620263
28.1838293,-0.0106026407,-0.00237441841
31.6227766,-0.0106026425,-0.00266414127
35.4813389,-0.0106026447,-0.00298921567
39.8107171,-0.0106026476,-0.00335395515
44.6683592,-0.0106026512,-0.00376319957
50.1187234,-0.0106026557,-0.00422237936
56.2341325,-0.0106026614,-0.00473758756
63.0957344,-0.0106026686,-0.00531566067
70.7945784,-0.0106026776,-0.00596426937
79.4328235,-0.010602689,-0.00669202029
89.1250938,-0.0106027033,-0.00750857025
100,-0.0106027214,-0.00842475438
112.201845,-0.0106027441,-0.00945272987
125.892541,-0.0106027726,-0.0106061373
141.253754,-0.0106028086,-0.0119002818
158.489319,-0.0106028539,-0.0133523357
177.827941,-0.0106029109,-0.014981567
199.526231,-0.0106029827,-0.0168095946
223.872114,-0.0106030731,-0.0188606752
251.188643,-0.0106031868,-0.0211620255
281.838293,-0.01060333,-0.0237441829
316.227766,-0.0106035103,-0.026641411
354.813389,-0.0106037373,-0.0298921543
398.107171,-0.0106040231,-0.033539548
446.683592,-0.0106043828,-0.0376319909
501.187234,-0.0106048357,-0.0422237868
562.341325,-0.0106054059,-0.047375866
630.957344,-0.0106061236,-0.0531565931
707.945784,-0.0106070273,-0.0596426744
794.328235,-0.0106081649,-0.0669201757
891.250938,-0.010609597,-0.0750856642
1000,-0.0106114,-0.0842474896
1122.01845,-0.0106136699,-0.0945272221
1258.92541,-0.0106165274,-0.106061265
1412.53754,-0.0106201248,-0.119002665
1584.89319,-0.0106246537,-0.133523142
1778.27941,-0.0106303552,-0.149815366
1995.26231,-0.010637533,-0.168095515
2238.72114,-0.0106465692,-0.188606144
2511.88643,-0.0106579452,-0.211619396
2818.38293,-0.0106722666,-0.237440615
3162.27766,-0.0106902962,-0.266412396
3548.13389,-0.0107129939,-0.298919122
3981.07171,-0.0107415685,-0.335392061
