 frequency       db(v(vout))     180*cph(v(vout))/pi
 1.00000000e+00 -1.06026337e-02 -8.42475443e-05 
 1.12201845e+00 -1.06026337e-02 -9.45272995e-05 
 1.25892541e+00 -1.06026337e-02 -1.06061374e-04 
 1.41253754e+00 -1.06026337e-02 -1.19002819e-04 
 1.58489319e+00 -1.06026337e-02 -1.33523359e-04 
 1.77827941e+00 -1.06026337e-02 -1.49815673e-04 
 1.99526231e+00 -1.06026337e-02 -1.68095950e-04 
 2.23872114e+00 -1.06026338e-02 -1.88606758e-04 
 2.51188643e+00 -1.06026338e-02 -2.11620264e-04 
 2.81838293e+00 -1.06026338e-02 -2.37441841e-04 
 3.16227766e+00 -1.06026338e-02 -2.66414127e-04 
 3.54813389e+00 -1.06026338e-02 -2.98921567e-04 
 3.98107171e+00 -1.06026338e-02 -3.35395515e-04 
 4.46683592e+00 -1.06026339e-02 -3.76319957e-04 
 5.01187234e+00 -1.06026339e-02 -4.22237937e-04 
 5.62341325e+00 -1.06026340e-02 -4.73758757e-04 
 6.30957344e+00 -1.06026341e-02 -5.31566069e-04 
 7.07945784e+00 -1.06026341e-02 -5.96426939e-04 
 7.94328235e+00 -1.06026343e-02 -6.69202032e-04 
 8.91250938e+00 -1.06026344e-02 -7.50857029e-04 
 1.00000000e+01 -1.06026346e-02 -8.42475443e-04 
 1.12201845e+01 -1.06026348e-02 -9.45272995e-04 
 1.25892541e+01 -1.06026351e-02 -1.06061374e-03 
 1.41253754e+01 -1.06026355e-02 -1.19002819e-03 
 1.58489319e+01 -1.06026359e-02 -1.33523359e-03 
 1.77827941e+01 -1.06026365e-02 -1.49815673e-03 
 1.99526231e+01 -1.06026372e-02 -1.68095950e-03 
 2.23872114e+01 -1.06026381e-02 -1.88606758e-03 
 2.51188643e+01 -1.06026392e-02 -2.11620263e-03 
 2.81838293e+01 -1.06026407e-02 -2.37441841e-03 
 3.16227766e+01 -1.06026425e-02 -2.66414127e-03 
 3.54813389e+01 -1.06026447e-02 -2.98921567e-03 
 3.98107171e+01 -1.06026476e-02 -3.35395515e-03 
 4.46683592e+01 -1.06026512e-02 -3.76319957e-03 
 5.01187234e+01 -1.06026557e-02 -4.22237936e-03 
 5.62341325e+01 -1.06026614e-02 -4.73758756e-03 
 6.30957344e+01 -1.06026686e-02 -5.31566067e-03 
 7.07945784e+01 -1.06026776e-02 -5.96426937e-03 
 7.94328235e+01 -1.06026890e-02 -6.69202029e-03 
 8.91250938e+01 -1.06027033e-02 -7.50857025e-03 
 1.00000000e+02 -1.06027214e-02 -8.42475438e-03 
 1.12201845e+02 -1.06027441e-02 -9.45272987e-03 
 1.25892541e+02 -1.06027726e-02 -1.06061373e-02 
 1.41253754e+02 -1.06028086e-02 -1.19002818e-02 
 1.58489319e+02 -1.06028539e-02 -1.33523357e-02 
 1.77827941e+02 -1.06029109e-02 -1.49815670e-02 
 1.99526231e+02 -1.06029827e-02 -1.68095946e-02 
 2.23872114e+02 -1.06030731e-02 -1.88606752e-02 
 2.51188643e+02 -1.06031868e-02 -2.11620255e-02 
 2.81838293e+02 -1.06033300e-02 -2.37441829e-02 
 3.16227766e+02 -1.06035103e-02 -2.66414110e-02 
 3.54813389e+02 -1.06037373e-02 -2.98921543e-02 
 3.98107171e+02 -1.06040231e-02 -3.35395480e-02 
