v-sweep,v(vout),v(v1),v(v2)
0,0.0000000611144121,0,0.6
0.001,0.0000000611144131,0.001,0.6
0.002,0.0000000611144123,0.002,0.6
0.003,0.0000000611144122,0.003,0.6
0.004,0.0000000611144128,0.004,0.6
0.005,0.0000000611144127,0.005,0.6
0.006,0.0000000611144137,0.006,0.6
0.007,0.0000000611144151,0.007,0.6
0.008,0.0000000611144159,0.008,0.6
0.009,0.000000061114416,0.009,0.6
0.01,0.0000000611144148,0.01,0.6
0.011,0.0000000611144178,0.011,0.6
0.012,0.000000061114417,0.012,0.6
0.013,0.0000000611144179,0.013,0.6
0.014,0.0000000611144192,0.014,0.6
0.015,0.0000000611144177,0.015,0.6
0.016,0.0000000611144189,0.016,0.6
0.017,0.0000000611144195,0.017,0.6
0.018,0.00000006111442,0.018,0.6
0.019,0.0000000611144193,0.019,0.6
0.02,0.0000000611144213,0.02,0.6
0.021,0.0000000611144239,0.021,0.6
0.022,0.0000000611144241,0.022,0.6
0.023,0.0000000611144231,0.023,0.6
0.024,0.0000000611144259,0.024,0.6
0.025,0.0000000611144249,0.025,0.6
0.026,0.000000061114426,0.026,0.6
0.027,0.0000000611144265,0.027,0.6
0.028,0.0000000611144285,0.028,0.6
0.029,0.0000000611144283,0.029,0.6
0.03,0.0000000611144279,0.03,0.6
0.031,0.0000000611144278,0.031,0.6
0.032,0.0000000611144297,0.032,0.6
0.033,0.0000000611144307,0.033,0.6
0.034,0.0000000611144322,0.034,0.6
0.035,0.0000000611144343,0.035,0.6
0.036,0.0000000611144349,0.036,0.6
0.037,0.0000000611144352,0.037,0.6
0.038,0.0000000611144356,0.038,0.6
0.039,0.0000000611144359,0.039,0.6
0.04,0.0000000611144382,0.04,0.6
0.041,0.0000000611144406,0.041,0.6
0.042,0.0000000611144409,0.042,0.6
0.043,0.0000000611144428,0.043,0.6
0.044,0.0000000611144427,0.044,0.6
0.045,0.0000000611144435,0.045,0.6
0.046,0.0000000611144456,0.046,0.6
0.047,0.0000000611144456,0.047,0.6
0.048,0.0000000611144487,0.048,0.6
0.049,0.0000000611144497,0.049,0.6
0.05,0.0000000611144496,0.05,0.6
0.051,0.0000000611144511,0.051,0.6
0.052,0.000000061114453,0.052,0.6
0.053,0.0000000611144558,0.053,0.6
0.054,0.0000000611144568,0.054,0.6
0.055,0.0000000611144577,0.055,0.6
0.056,0.0000000611144583,0.056,0.6
0.057,0.0000000611144608,0.057,0.6
0.058,0.0000000611144639,0.058,0.6
0.059,0.0000000611144645,0.059,0.6
0.06,0.0000000611144663,0.06,0.6
0.061,0.000000061114468,0.061,0.6
0.062,0.0000000611144708,0.062,0.6
0.063,0.0000000611144717,0.063,0.6
0.064,0.000000061114474,0.064,0.6
0.065,0.0000000611144767,0.065,0.6
0.066,0.0000000611144801,0.066,0.6
0.067,0.0000000611144825,0.067,0.6
0.068,0.0000000611144858,0.068,0.6
0.069,0.000000061114486,0.069,0.6
0.07,0.0000000611144876,0.07,0.6
0.071,0.0000000611144922,0.071,0.6
0.072,0.0000000611144932,0.072,0.6
0.073,0.0000000611144953,0.073,0.6
0.074,0.0000000611145007,0.074,0.6
0.075,0.0000000611145021,0.075,0.6
0.076,0.0000000611145054,0.076,0.6
0.077,0.0000000611145069,0.077,0.6
0.078,0.0000000611145097,0.078,0.6
0.079,0.0000000611145134,0.079,0.6
0.08,0.0000000611145171,0.08,0.6
0.081,0.0000000611145201,0.081,0.6
0.082,0.0000000611145239,0.082,0.6
0.083,0.0000000611145252,0.083,0.6
0.084,0.0000000611145309,0.084,0.6
0.085,0.0000000611145339,0.085,0.6
0.086,0.0000000611145373,0.086,0.6
0.087,0.00000006111454,0.087,0.6
0.088,0.0000000611145457,0.088,0.6
0.089,0.0000000611145482,0.089,0.6
0.09,0.0000000611145529,0.09,0.6
0.091,0.0000000611145574,0.091,0.6
0.092,0.000000061114563,0.092,0.6
0.093,0.0000000611145663,0.093,0.6
0.094,0.0000000611145692,0.094,0.6
0.095,0.000000061114576,0.095,0.6
0.096,0.0000000611145804,0.096,0.6
0.097,0.0000000611145859,0.097,0.6
0.098,0.0000000611145891,0.098,0.6
0.099,0.0000000611145966,0.099,0.6
0.1,0.0000000611145999,0.1,0.6
0.101,0.0000000611146077,0.101,0.6
0.102,0.000000061114613,0.102,0.6
0.103,0.0000000611146187,0.103,0.6
0.104,0.0000000611146227,0.104,0.6
0.105,0.0000000611146297,0.105,0.6
0.106,0.0000000611146378,0.106,0.6
0.107,0.0000000611146438,0.107,0.6
0.108,0.00000006111465,0.108,0.6
0.109,0.0000000611146579,0.109,0.6
0.11,0.0000000611146647,0.11,0.6
0.111,0.0000000611146719,0.111,0.6
0.112,0.0000000611146788,0.112,0.6
0.113,0.0000000611146877,0.113,0.6
0.114,0.0000000611146957,0.114,0.6
0.115,0.0000000611147038,0.115,0.6
0.116,0.000000061114712,0.116,0.6
0.117,0.0000000611147188,0.117,0.6
0.118,0.0000000611147284,0.118,0.6
0.119,0.0000000611147363,0.119,0.6
0.12,0.0000000611147477,0.12,0.6
0.121,0.0000000611147569,0.121,0.6
0.122,0.0000000611147656,0.122,0.6
0.123,0.0000000611147758,0.123,0.6
0.124,0.000000061114787,0.124,0.6
0.125,0.0000000611147969,0.125,0.6
0.126,0.0000000611148096,0.126,0.6
0.127,0.0000000611148193,0.127,0.6
0.128,0.0000000611148309,0.128,0.6
0.129,0.0000000611148431,0.129,0.6
0.13,0.0000000611148549,0.13,0.6
0.131,0.0000000611148686,0.131,0.6
