v-sweep,v(vout),i(vout),v(v1),v(v2)
0,1,-0.000000473485173,0,0.5
0.001,1,-0.000000473479716,0.001,0.5
0.002,1,-0.000000473479737,0.002,0.5
0.003,1,-0.00000047347968,0.003,0.5
0.004,1,-0.000000473479652,0.004,0.5
0.005,1,-0.000000473479602,0.005,0.5
0.006,1,-0.000000473479581,0.006,0.5
0.007,1,-0.000000473479545,0.007,0.5
0.008,1,-0.00000047347951,0.008,0.5
0.009,1,-0.000000473479474,0.009,0.5
0.01,1,-0.000000473479432,0.01,0.5
0.011,1,-0.000000473479361,0.011,0.5
0.012,1,-0.000000473479346,0.012,0.5
0.013,1,-0.000000473479318,0.013,0.5
0.014,1,-0.000000473479247,0.014,0.5
0.015,1,-0.000000473479204,0.015,0.5
0.016,1,-0.000000473479133,0.016,0.5
0.017,1,-0.000000473479119,0.017,0.5
0.018,1,-0.000000473479076,0.018,0.5
0.019,1,-0.000000473479012,0.019,0.5
0.02,1,-0.000000473478977,0.02,0.5
0.021,1,-0.00000047347892,0.021,0.5
0.022,1,-0.000000473478856,0.022,0.5
0.023,1,-0.000000473478842,0.023,0.5
0.024,1,-0.000000473478785,0.024,0.5
0.025,1,-0.000000473478693,0.025,0.5
0.026,1,-0.000000473478586,0.026,0.5
0.027,1,-0.000000473478572,0.027,0.5
0.028,1,-0.000000473478515,0.028,0.5
0.029,1,-0.000000473478472,0.029,0.5
0.03,1,-0.000000473478401,0.03,0.5
0.031,1,-0.000000473478288,0.031,0.5
0.032,1,-0.000000473478245,0.032,0.5
0.033,1,-0.000000473478217,0.033,0.5
0.034,1,-0.000000473478067,0.034,0.5
0.035,1,-0.000000473478082,0.035,0.5
0.036,1,-0.00000047347794,0.036,0.5
0.037,1,-0.000000473477897,0.037,0.5
0.038,1,-0.000000473477741,0.038,0.5
0.039,1,-0.000000473477726,0.039,0.5
0.04,1,-0.00000047347762,0.04,0.5
0.041,1,-0.000000473477513,0.041,0.5
0.042,1,-0.000000473477414,0.042,0.5
0.043,1,-0.000000473477336,0.043,0.5
0.044,1,-0.00000047347725,0.044,0.5
0.045,1,-0.000000473477144,0.045,0.5
0.046,1,-0.000000473477037,0.046,0.5
0.047,1,-0.000000473476945,0.047,0.5
0.048,1,-0.000000473476824,0.048,0.5
0.049,1,-0.000000473476682,0.049,0.5
0.05,1,-0.000000473476625,0.05,0.5
0.051,1,-0.000000473476497,0.051,0.5
0.052,1,-0.000000473476412,0.052,0.5
0.053,1,-0.000000473476248,0.053,0.5
0.054,1,-0.000000473476099,0.054,0.5
0.055,1,-0.000000473476,0.055,0.5
0.056,1,-0.000000473475843,0.056,0.5
